Feature,Importance
feature_2,0.3484915877591868
feature_13,0.19989343455890773
feature_9,0.15288941124101998
feature_11,0.10186614394101329
feature_18,0.042883618241095246
feature_4,0.011902208435387562
feature_10,0.011654734392097712
feature_0,0.011552247629497055
feature_7,0.011388297823728662
feature_17,0.011309027843851169
feature_15,0.011047411583604696
feature_3,0.01094764401655166
feature_6,0.01049178597197873
feature_1,0.010325443932767898
feature_14,0.009735771841068249
feature_16,0.009640111223776832
feature_5,0.009404137552962632
feature_8,0.008356928002892129
feature_19,0.008137526207968392
feature_12,0.008082527800643734
