Feature,Importance
feature_2,0.34848050090594157
feature_13,0.198832150516312
feature_9,0.15417992301329436
feature_11,0.10201074753667366
feature_18,0.0432949694710823
feature_4,0.012322794869136231
feature_17,0.01230760097665405
feature_7,0.011608357829804999
feature_10,0.011515324175733466
feature_0,0.011257312054028398
feature_3,0.011049078674544705
feature_15,0.010415341916313667
feature_1,0.010385013254725153
feature_6,0.010251392500550374
feature_5,0.009631911983689878
feature_16,0.009520612212331567
feature_14,0.009446159206142453
feature_8,0.008287153894142418
feature_12,0.008046129179221451
feature_19,0.0071575258296773005
