num_features,mae,rmse
1,0.8535639494090553,1.0339241472596061
2,0.6185199588487269,0.7936012326626222
3,0.45155855893119046,0.5739255855137846
4,0.40792457926493003,0.4930755989023293
5,0.34503779456223155,0.43327855609895943
6,0.354182151369883,0.44590076467293716
7,0.36324621047206057,0.4557535585903029
8,0.3668142528490461,0.4608766003685476
9,0.37305276160874523,0.4715384298558306
10,0.3749129245116951,0.47401705318452564
11,0.3759426170841136,0.476083101058669
12,0.3800638790061501,0.4776554854543065
13,0.38245185552212974,0.4825680655016753
14,0.38218544693980216,0.4830559586345717
15,0.38778288529616367,0.4863134570520889
16,0.3900521835405726,0.48952281886522
17,0.39301353882329254,0.4940280807154217
18,0.39742599826550573,0.4974896784215865
19,0.3969521551931869,0.497647097983251
20,0.40298436246922886,0.5023448758354943
