Feature,Importance
feature_2,0.34856857328817986
feature_13,0.19876434459682332
feature_9,0.15424986596345844
feature_11,0.10199107278260415
feature_18,0.043229357039116796
feature_4,0.012582431206771532
feature_17,0.011695137424936117
feature_10,0.011514927192274156
feature_7,0.011425174676534568
feature_0,0.011403074640213822
feature_3,0.011299750071312523
feature_6,0.010286075795902789
feature_15,0.010175307685824884
feature_1,0.010123213525407087
feature_5,0.009676883534796517
feature_14,0.009472493920060608
feature_16,0.009378460129602278
feature_8,0.008559297876034681
feature_12,0.008170182199824154
feature_19,0.007434376450321755
