Feature,Importance
feature_2,0.3486923087492926
feature_13,0.20077690424033967
feature_9,0.15238595732453475
feature_11,0.10203935955751645
feature_18,0.042254031217378134
feature_4,0.011963968712530528
feature_7,0.011585090401234807
feature_0,0.011392131699660676
feature_10,0.011366865419643213
feature_15,0.011284452947907067
feature_17,0.01119381015068438
feature_6,0.010794805608326598
feature_3,0.010774350973915138
feature_1,0.010317704662498697
feature_16,0.00955042040651185
feature_5,0.009514572787879722
feature_14,0.009348191118473249
feature_8,0.008532686205035528
feature_12,0.008152926815069798
feature_19,0.008079461001567152
