Feature,Importance
feature_2,0.34848941575270254
feature_13,0.1989724711804241
feature_9,0.1542129188250451
feature_11,0.10229105188244646
feature_18,0.042931606971645345
feature_4,0.012691505707748333
feature_17,0.012042938149391112
feature_10,0.01171901188389523
feature_7,0.011576211447084848
feature_0,0.011191348943981945
feature_3,0.010741282005660753
feature_6,0.010382273227124284
feature_1,0.010251550634776622
feature_15,0.010029070716379476
feature_16,0.009597633150709545
feature_14,0.009360705710810263
feature_5,0.009357457400772103
feature_8,0.008546596174567822
feature_12,0.008159873202489927
feature_19,0.007455077032344291
