num_features,mae,rmse
1,0.8527569738286546,1.0326833551267298
2,0.6201391622851689,0.7926042794076222
3,0.4531851053321496,0.5756788822284246
4,0.40726402728289557,0.49258556058560254
5,0.3445146110063378,0.4323410952882814
6,0.35402069415956533,0.44463203800903217
7,0.362331195049083,0.454088344486652
8,0.36498050434529455,0.4596574870613865
9,0.37098695688815675,0.4677891726353126
10,0.3734094862329345,0.4729504599661412
11,0.3786628559623035,0.47902964716944907
12,0.37927405560320965,0.4816938775696832
13,0.3797073899750673,0.47958688411980516
14,0.3794619225846669,0.47983522609281987
15,0.3843675948640002,0.4847757549516215
16,0.3852379261556095,0.4844158189045721
17,0.39289359387149797,0.493579546371015
18,0.39090656978346505,0.49057756456635954
19,0.3933988899018112,0.494811110296993
20,0.39852676268044857,0.4991195120552041
