Feature,Importance
feature_2,0.350225517822323
feature_13,0.19501321071109165
feature_9,0.14560897121361666
feature_11,0.099822779783317
feature_18,0.04597962481766182
feature_7,0.01427611779713055
feature_10,0.013618717614785043
feature_4,0.013119430164621186
feature_14,0.012156190091636467
feature_1,0.011847943221272871
feature_0,0.011050399336246335
feature_16,0.010375873580676327
feature_5,0.01035501567958289
feature_3,0.010184076161567808
feature_6,0.010124796971250112
feature_8,0.009764093637726328
feature_17,0.00968146318044931
feature_19,0.009395994826261234
feature_15,0.008881776178072528
feature_12,0.008518007210710917
