num_features,mae,rmse
1,0.1545758245032071,0.19072999053282108
2,0.13023570395172743,0.16128973103128127
3,0.09566702749640427,0.11667099378982862
4,0.0798366322544626,0.09947924257077487
5,0.07196875894247971,0.0894681620430661
6,0.07322859935381067,0.09145709653813358
7,0.07443932915944805,0.0930046163543098
8,0.07606064881132384,0.09542467159009822
9,0.07711428739341132,0.0968051777539216
10,0.07866265239064325,0.09812842161486267
11,0.07860105951651698,0.09825125793182571
12,0.08000833178319565,0.09953777291804203
13,0.08064023209862191,0.10032721880313245
14,0.08071364650634376,0.1004870392374787
15,0.08023207939108051,0.09969469487232255
16,0.08029441604330477,0.09980118165870157
17,0.08062011151988945,0.09976546126515538
18,0.08065550707408092,0.10003371113598264
19,0.08170707533338208,0.10078848735679026
20,0.08147534277094175,0.10085682900678969
