Feature,Importance
feature_2,0.34978002941883113
feature_13,0.19436957026542162
feature_9,0.1462438012834209
feature_11,0.09994928037115301
feature_18,0.04658738488327934
feature_4,0.013502289873229576
feature_7,0.01336241149539132
feature_10,0.01329298713356127
feature_14,0.012664670948331978
feature_1,0.011802669544617908
feature_0,0.011122756817719693
feature_6,0.0106446881400387
feature_16,0.010388933458432264
feature_3,0.010387742087870192
feature_8,0.01038077784053053
feature_5,0.009650862006043214
feature_19,0.009244395581808257
feature_17,0.009095875759544137
feature_15,0.008802745631904196
feature_12,0.008726127458870738
