Feature,Importance
feature_2,0.3501254344425483
feature_13,0.19450027526585584
feature_9,0.14644664655336656
feature_11,0.09969932878985013
feature_18,0.04604718423878024
feature_7,0.013723010498676986
feature_10,0.013440895372902733
feature_4,0.013380876580436218
feature_14,0.012353748903725082
feature_1,0.011778705164658548
feature_0,0.01090513992730044
feature_6,0.010467915031992769
feature_8,0.010325716239699231
feature_16,0.010297779917468974
feature_3,0.01019204930887994
feature_5,0.00965828369561371
feature_19,0.009444373706297257
feature_17,0.009302427818245567
feature_15,0.009005829874264766
feature_12,0.008904378669436767
