Feature,Importance
feature_2,0.3495800604424141
feature_13,0.1943826451460787
feature_9,0.146130154383778
feature_11,0.09978725910354483
feature_18,0.0462749086075936
feature_4,0.013602997023958657
feature_10,0.013315573056156209
feature_7,0.013298599341292495
feature_14,0.012282529081875031
feature_1,0.01220884955801508
feature_0,0.011231389022505702
feature_8,0.010687785176048913
feature_16,0.010530717558782165
feature_6,0.01043890506401162
feature_5,0.009949324200229316
feature_3,0.009938003337418379
feature_17,0.009214246530790716
feature_12,0.009113333911537892
feature_19,0.009028326971018078
feature_15,0.009004392482950572
