Feature,Importance
feature_2,0.35017729789731783
feature_13,0.1951612224574289
feature_9,0.1456478456013528
feature_11,0.099701047518238
feature_18,0.04638536435208808
feature_7,0.014763420530048721
feature_10,0.013637273161782112
feature_4,0.013158221467854904
feature_14,0.012309649540185128
feature_1,0.011858100398948425
feature_0,0.010940320190314552
feature_16,0.010358906676337539
feature_6,0.01030857716190143
feature_5,0.010129581679298501
feature_3,0.010071701435738867
feature_8,0.00983761944038468
feature_17,0.009446935337108723
feature_19,0.00904163279543724
feature_15,0.00872181499027781
feature_12,0.00834346736795572
