num_features,mae,rmse
1,0.810275515130504,0.9997930907145921
2,0.6832663151306146,0.8458047930163417
3,0.5021853151047054,0.612491468726403
4,0.4200410151275507,0.5222902754810573
5,0.37684476082660257,0.4686653758284036
6,0.38253161487630805,0.4786490758673526
7,0.3912486158486684,0.48776461984856295
8,0.39911208616262517,0.5003391731400141
9,0.4051744931010072,0.5089611914705804
10,0.40994516475803805,0.5117991944687476
11,0.413069901355042,0.5150892617949335
12,0.4188681281261853,0.5242684510542854
13,0.41705015241691273,0.5207384224894698
14,0.42032908526433266,0.5220604057454044
15,0.4219152128101593,0.52506800555446
16,0.4193237978577951,0.5221980410526954
17,0.42230588927588425,0.5221713527486871
18,0.4241537520737624,0.524246652387328
19,0.4261788860887008,0.5266152965834375
20,0.4288261178672484,0.531381646248293
